,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,fitness
12,0.5390625,-0.21875,-0.1328125,0.671875,-0.296875,0.40625,0.3515625,-0.15625,0.6953125,0.0625,0.8203125,-0.234375,-0.7421875,0.4765625,0.3984375,-0.3203125,-0.671875,-0.671875,-0.9375,0
13,0.8515625,0.78125,-0.3828125,-0.265625,-0.796875,0.40625,-0.921875,-0.1640625,0.8515625,-0.984375,0.9375,-0.703125,-0.9609375,0.1015625,0.3828125,-0.3125,-0.671875,-0.9375,-0.1328125,0
14,0.9140625,0.78125,0.7109375,0.6796875,-0.8125,0.40625,0.0859375,-0.9296875,0.8515625,0.015625,0.953125,-0.859375,-0.3515625,0.140625,0.3828125,0.09375,-0.546875,-0.671875,-0.9140625,0
15,0.59375,-0.71875,-0.0390625,-0.3203125,0.1875,0.90625,-0.8984375,-0.6484375,0.8203125,0.078125,0.8125,-0.2265625,-0.7109375,0.4609375,0.1328125,0.2265625,-0.046875,-0.9375,-0.6640625,0
16,0.8203125,0.28125,0.5859375,-0.2578125,-0.8125,0.90625,0.3515625,-0.3671875,0.6953125,-0.9375,0.953125,-0.3359375,-0.84375,0.203125,0.1328125,0.265625,-0.046875,-0.921875,-0.1875,0
17,0.03125,0.28125,-0.1328125,0.671875,0.1875,0.90625,-0.921875,-0.4375,0.8671875,-0.4375,0.8203125,-0.875,-0.921875,0.4609375,0.1328125,0.515625,-0.359375,-0.640625,-0.890625,0
18,0.3515625,-0.71875,0.8671875,-0.265625,0.21875,0.90625,-0.4140625,-0.3828125,0.8515625,0.5703125,0.8359375,-0.15625,-1.0,0.4609375,0.3984375,-0.3828125,-0.671875,-0.890625,-0.390625,0
19,0.78125,0.78125,-0.3203125,0.671875,0.203125,0.40625,-0.1796875,-0.921875,0.6953125,-0.421875,0.9453125,-0.96875,-0.578125,0.0703125,0.1328125,0.21875,-0.546875,-0.890625,-0.6640625,0
20,0.640625,0.078125,-0.5703125,0.3046875,-0.8984375,0.234375,0.65625,0.2265625,-0.1171875,-0.9453125,-0.7421875,0.6015625,-0.546875,0.921875,-0.984375,0.1171875,-0.5078125,-0.0546875,0.2734375,0
21,0.765625,-0.6875,-0.609375,0.1328125,-0.890625,-0.84375,0.6796875,0.8515625,-0.4296875,-0.8828125,-0.5,0.8203125,-0.296875,-0.078125,-0.453125,0.8359375,-0.5234375,0.9453125,0.265625,2
22,0.65625,-0.921875,-0.5859375,0.7890625,-0.8203125,0.375,0.6015625,0.46875,-0.1171875,-0.8984375,-0.796875,0.9375,-0.7890625,0.3828125,-0.984375,-0.015625,-0.7578125,0.4453125,0.3984375,1
23,0.640625,-0.46875,-0.5703125,0.2734375,-0.8984375,-0.78125,0.9296875,-0.15625,-0.0546875,-0.890625,-0.4375,0.9765625,-0.046875,-0.1015625,-0.984375,-0.1328125,-0.5078125,0.9453125,0.265625,1
24,0.640625,0.703125,-0.609375,0.0546875,-0.953125,0.171875,0.5546875,-0.8984375,0.6328125,0.421875,-0.203125,0.5703125,-0.0390625,0.875,-0.453125,0.984375,-0.5390625,-0.0546875,0.2734375,2
25,0.640625,-0.171875,-0.6015625,0.8359375,-0.90625,0.640625,0.84375,-0.90625,-0.4296875,0.28125,-0.6171875,0.6875,-0.5390625,0.390625,-0.984375,-0.0390625,-0.5390625,0.9453125,0.3125,0
26,0.640625,-0.0625,-0.640625,0.0078125,-0.578125,-0.3125,0.65625,-0.03125,0.7578125,0.296875,-0.28125,0.6953125,-0.2890625,-0.109375,-0.453125,-0.1640625,-0.5234375,0.9453125,0.265625,0
27,0.65625,0.1875,-0.5859375,0.0078125,-0.6328125,-0.265625,0.6640625,-0.78125,-0.4296875,-0.703125,-0.421875,0.7265625,-0.796875,-0.3515625,-0.953125,0.859375,-0.8046875,0.9453125,0.390625,0
28,0.390625,-0.9375,-0.6015625,0.0078125,-0.9609375,0.671875,0.546875,-0.0234375,0.6953125,0.28125,-0.484375,0.71875,-0.546875,0.40625,-0.4921875,-0.140625,-0.8046875,0.9453125,0.4453125,0
29,0.765625,-0.28125,-0.65625,0.8046875,-0.8828125,0.125,0.859375,-0.2734375,0.7578125,0.34375,-0.4375,0.96875,-0.546875,-0.5859375,-0.46875,0.953125,-0.2734375,-0.0546875,0.3125,0
30,0.640625,-0.90625,-0.578125,0.2890625,-0.890625,-0.296875,0.78125,0.71875,-0.359375,0.046875,-0.671875,0.6015625,-0.7890625,-0.078125,-0.953125,0.9921875,-0.5234375,0.9453125,0.3359375,0
31,0.640625,0.578125,-0.578125,0.8046875,-0.8828125,-0.84375,0.59375,0.84375,-0.4296875,0.1640625,-0.046875,0.8515625,-0.7890625,0.375,-0.953125,0.578125,-0.8203125,0.453125,0.3828125,0
32,0.640625,0.5625,-0.6171875,0.0546875,-0.8984375,0.15625,0.6640625,-0.2890625,-0.7421875,0.09375,-0.6015625,0.71875,-0.796875,0.9296875,-0.453125,-0.296875,-0.5546875,0.9453125,-0.25,0
33,0.640625,0.9375,-0.6171875,0.6640625,-0.890625,0.671875,0.7890625,-0.515625,-0.4921875,-0.90625,-0.6796875,0.5625,-0.0390625,0.4140625,-0.484375,0.703125,-0.5546875,-0.0546875,0.25,2
34,0.640625,0.8125,-0.546875,0.7890625,-0.6328125,0.203125,0.8515625,-0.15625,-0.2421875,0.34375,-0.6171875,0.4375,-0.2890625,0.859375,-0.953125,-0.1640625,-0.546875,-0.046875,0.4609375,0
35,0.765625,-0.4375,-0.5703125,0.2578125,-0.6328125,0.21875,0.984375,-0.78125,0.9453125,0.3671875,-0.5625,0.5703125,-0.2890625,-0.125,-0.484375,0.59375,-0.5078125,-0.0546875,0.3515625,0
36,0.640625,0.203125,-0.6171875,0.7890625,-0.96875,-0.3125,0.8515625,0.6015625,-0.1171875,0.03125,-0.6796875,0.5625,-0.7890625,-0.5859375,-0.453125,0.8359375,-0.5234375,0.9453125,0.453125,2
37,0.640625,0.953125,-0.625,0.0546875,-0.6328125,-0.359375,0.9140625,-0.7734375,-0.1171875,0.0703125,-0.984375,0.703125,-0.5390625,0.8828125,-0.953125,0.9765625,-0.7734375,0.9453125,0.3984375,0
38,0.640625,-0.921875,-0.609375,0.2578125,-0.6328125,-0.8125,0.6171875,-0.6484375,0.6328125,0.0546875,-0.1171875,0.9375,-0.296875,-0.5703125,-0.484375,-0.1328125,-0.5234375,0.9453125,0.3203125,0
39,0.640625,0.6875,-0.625,-0.2890625,-0.6484375,-0.359375,0.9296875,-0.8984375,-0.3359375,-0.8984375,-0.546875,0.5625,-0.7890625,-0.5859375,-0.953125,-0.171875,-0.8046875,-0.0546875,0.2734375,0
40,-0.8125,-0.5,-0.671875,0.875,-0.8359375,0.8359375,0.7421875,-1.0,0.265625,-0.8984375,0.2734375,0.6640625,-0.875,0.3671875,0.3046875,0.0859375,-0.6484375,-0.15625,0.203125,0
41,-0.8125,-0.1875,-0.9765625,0.5,0.2265625,0.640625,0.859375,-0.46875,-0.78125,-0.6484375,0.0546875,0.9453125,-0.7890625,0.1796875,0.28125,-0.3515625,-0.7109375,-0.59375,0.2109375,1
42,-0.8125,-0.5,-0.734375,0.9375,0.2265625,0.953125,-0.5703125,-0.46875,0.5,-0.1484375,0.0234375,0.7890625,-0.8359375,0.2890625,0.3046875,0.6328125,-0.984375,-0.34375,-0.2890625,1
43,-0.625,-0.40625,-0.0390625,0.875,0.0625,-0.796875,-0.796875,-1.0,0.7578125,-0.3984375,0.2734375,0.5859375,-0.7734375,-0.7109375,0.328125,0.6484375,-0.9609375,-0.59375,-0.2578125,0
44,-0.625,-0.1875,-0.609375,0.7578125,-0.8984375,0.2734375,0.8671875,-0.5,0.609375,-0.3828125,0.015625,0.9296875,-0.6796875,-0.6953125,-0.25,-0.2421875,-0.9921875,-0.03125,-0.5078125,0
45,-0.625,-0.15625,-0.3515625,0.7578125,-0.3671875,-0.234375,-0.109375,-0.96875,-0.296875,-0.1484375,0.0546875,0.6171875,-1.0,0.3046875,0.328125,0.6328125,-0.9296875,0.78125,0.2421875,1
46,-0.8125,-0.25,-0.7109375,0.9375,0.0078125,-0.1015625,0.8359375,-0.46875,-0.7578125,0.3671875,0.0546875,0.5546875,-1.0,0.3515625,-0.6484375,0.640625,-0.6484375,0.765625,0.234375,2
47,-0.875,-0.4375,-0.984375,0.9375,0.125,0.3984375,0.859375,-0.5,-0.46875,-0.8828125,0.28125,0.7734375,-0.625,-0.2265625,-0.640625,0.6484375,-0.6640625,-0.65625,0.4765625,0
48,-0.125,-0.40625,-0.9765625,0.7578125,-1.0,0.640625,0.359375,-0.5,0.609375,-0.6484375,0.296875,0.5078125,-0.9296875,-0.7109375,-0.2109375,0.6328125,-0.9140625,-0.171875,-0.796875,2
49,-0.5625,-0.4375,-0.4765625,0.5625,0.0,0.328125,0.3359375,-1.0,-0.4296875,-0.3984375,-0.203125,0.5078125,-0.28125,0.859375,-0.1484375,0.640625,-0.4921875,0.9375,0.234375,0
50,-0.125,-0.4375,-0.5390625,0.625,0.03125,0.8984375,-0.671875,-0.5,0.6796875,-0.1328125,0.0546875,0.9921875,-0.6171875,-0.1484375,-0.1484375,0.6328125,-0.9296875,0.40625,-0.765625,1
51,-0.875,-0.25,-0.2890625,0.75,0.1328125,-0.84375,0.359375,-0.96875,-0.8515625,-0.1484375,0.265625,0.6484375,-0.625,0.8046875,-0.2421875,-0.3671875,-0.890625,0.46875,-0.5078125,0
52,-0.0625,-0.46875,-0.2890625,0.5078125,0.1953125,0.0234375,-0.671875,-0.46875,0.6640625,-0.3828125,0.2734375,0.6484375,-1.0,-0.7109375,-0.25,-0.3515625,-0.921875,0.84375,0.4921875,0
53,-0.375,-0.5,-0.8515625,0.875,0.0078125,0.5234375,-0.1015625,-0.96875,0.09375,-0.6328125,0.265625,0.6171875,-0.7734375,0.3203125,0.2734375,-0.3515625,-0.6015625,-0.59375,-0.7578125,0
54,-0.0625,-0.21875,-0.6796875,0.9453125,-0.8671875,-0.546875,-0.265625,-0.75,-0.296875,-0.8984375,0.0234375,0.7421875,-0.734375,-0.7265625,0.5859375,-0.3515625,-1.0,0.65625,-0.5078125,0
55,-0.125,-0.40625,-0.109375,0.2578125,0.0625,0.4609375,-0.171875,-0.96875,-0.4140625,-0.1484375,0.2734375,0.2578125,-0.53125,0.4140625,-0.171875,-0.375,-0.7421875,-0.09375,0.4921875,0
56,-0.125,-0.484375,-0.9140625,0.8125,-0.9921875,0.765625,-0.171875,-0.9375,-0.1796875,-0.6328125,0.0546875,0.8828125,-0.78125,-0.0703125,0.3671875,0.625,-0.984375,0.34375,-0.5078125,0
57,-0.375,-0.4375,-0.859375,0.625,-0.9609375,0.2734375,-0.640625,-0.96875,-0.40625,-0.1328125,0.046875,0.7421875,-0.625,-0.1953125,0.328125,0.6328125,-1.0,-0.53125,-0.5078125,0
58,-0.875,-0.5,-0.6015625,0.875,-0.9609375,-0.9765625,-0.5703125,-1.0,-0.5390625,-0.3828125,0.015625,0.8515625,-0.5234375,0.8671875,0.3046875,-0.3515625,-0.6875,-0.03125,-0.796875,0
59,-0.3125,-0.4375,-0.546875,0.5625,0.125,0.265625,-0.6640625,-0.5,-0.3203125,-0.6484375,0.265625,0.6796875,-0.8125,-0.1328125,0.265625,0.640625,-0.6640625,-0.53125,-0.5078125,0
60,-0.6328125,0.640625,-0.125,0.0546875,-0.40625,0.0546875,-0.7734375,0.7265625,-0.1875,0.8125,-0.25,0.09375,0.2421875,-0.0078125,-0.7421875,-0.5703125,-0.328125,0.59375,0.28125,0
61,-0.6484375,0.640625,0.40625,0.3046875,0.234375,-0.9453125,-0.6171875,-0.1171875,-0.0546875,0.8125,-0.53125,0.5625,0.0859375,-0.40625,-0.6796875,0.421875,-0.46875,-0.15625,0.1328125,0
62,-0.578125,-0.484375,0.4375,-0.6328125,-0.28125,-0.96875,-0.6484375,-0.6171875,-0.0625,0.8515625,-0.0390625,0.71875,0.09375,-0.0078125,-0.7421875,-0.5703125,-0.28125,-0.015625,0.40625,0
63,0.4140625,0.703125,0.4375,0.1640625,-0.96875,0.0390625,-0.8046875,0.4453125,0.4375,0.8125,-0.578125,0.5859375,0.234375,-0.578125,-0.6640625,-0.640625,-0.28125,0.984375,0.15625,0
64,0.2890625,0.140625,0.375,0.109375,-0.359375,-0.953125,-0.8046875,-0.015625,0.4609375,0.4453125,-0.515625,0.59375,0.3515625,-0.65625,-0.6796875,-0.5703125,-0.40625,-0.15625,0.1640625,0
65,0.4140625,-0.359375,0.375,0.359375,-0.765625,-0.703125,-0.5546875,0.4140625,-0.1640625,0.8125,-0.7421875,0.21875,0.34375,-0.765625,-0.8515625,-0.6953125,-0.71875,0.59375,0.03125,0
66,0.3515625,0.640625,0.375,-0.8203125,-0.453125,-0.8359375,-0.8046875,0.9453125,-0.5625,0.8203125,-0.5859375,0.59375,0.1171875,-0.9453125,-0.7421875,-0.5703125,-0.40625,0.7265625,0.4140625,0
67,0.421875,0.578125,0.4375,0.109375,-0.890625,-0.9609375,-0.5859375,0.9765625,-0.6640625,0.3203125,-0.0625,0.5625,0.2109375,-0.59375,-0.7421875,-0.5703125,-0.328125,-0.40625,0.25,0
68,-0.71875,0.703125,0.375,-0.5078125,-0.78125,-0.703125,-0.8671875,0.9453125,-0.5625,0.84375,0.25,-0.390625,0.453125,-0.78125,-0.7109375,-0.6953125,-0.265625,0.484375,0.4140625,4
69,0.3671875,0.171875,0.390625,0.1796875,-0.4375,-0.6953125,-0.7734375,0.8828125,-0.171875,0.3203125,-0.546875,-0.4140625,0.2109375,-0.2734375,-0.8515625,0.4296875,-0.34375,-0.265625,0.3515625,0
70,-0.6953125,-0.296875,0.4375,0.2421875,-0.34375,-0.9453125,-0.6171875,0.9140625,-0.6640625,0.8203125,-0.5234375,-0.859375,0.1953125,-0.6328125,-0.6796875,-0.5390625,-0.40625,0.84375,0.15625,0
71,-0.5078125,-0.421875,0.453125,0.5546875,-0.5,0.046875,-0.3984375,0.4765625,0.328125,0.84375,-0.640625,-0.421875,0.1953125,-0.078125,-0.7265625,0.3046875,-0.390625,0.484375,0.1328125,0
72,0.46875,0.640625,0.375,-0.953125,-0.734375,-0.734375,-0.5234375,-0.5546875,-0.6796875,0.53125,-0.0390625,0.71875,0.2265625,-0.84375,-0.6796875,-0.5703125,-0.40625,0.84375,0.125,0
73,-0.6484375,-0.296875,0.453125,0.3671875,-0.859375,-0.9765625,-0.8671875,-0.0234375,0.4453125,0.3515625,-0.046875,0.5703125,0.328125,0.4296875,-0.6484375,-0.5703125,-0.40625,-0.265625,0.25,0
74,-0.5078125,0.578125,0.4375,0.1171875,-0.8125,0.2890625,-0.3671875,0.6953125,-0.1796875,0.84375,-0.5625,0.59375,0.0625,-0.3828125,-0.7265625,-0.578125,-0.578125,0.59375,0.1640625,0
75,-0.2109375,-0.328125,0.453125,-0.640625,-0.828125,0.28125,-0.7734375,0.4765625,-0.6875,0.8125,-0.21875,-0.390625,0.078125,-0.3203125,-0.6484375,0.3046875,-0.453125,-0.28125,0.0625,0
76,0.296875,0.515625,0.453125,-0.890625,-0.9375,-0.8203125,-0.8359375,-0.5234375,0.328125,0.34375,-0.5859375,-0.3203125,0.328125,-0.203125,-0.6640625,0.4296875,-0.46875,-0.15625,0.0390625,0
77,-0.6484375,0.59375,0.390625,-0.9453125,-0.4375,-0.96875,-0.5234375,0.3828125,0.328125,0.3515625,-0.6640625,-0.90625,0.3359375,-0.015625,-0.7265625,0.4296875,-0.453125,0.609375,0.3828125,0
78,0.2890625,-0.359375,0.4375,-0.7578125,-0.984375,-0.9453125,-0.5859375,-0.0859375,0.3125,0.3515625,-0.7109375,0.5859375,0.4765625,-0.5234375,-0.6640625,-0.6328125,-0.328125,0.84375,0.2578125,0
79,0.3046875,-0.359375,0.625,0.3046875,-0.75,0.3046875,-0.8359375,-0.0234375,-0.671875,0.3203125,-0.5078125,0.1015625,0.6953125,-0.2734375,-0.7421875,0.4296875,-0.390625,0.59375,0.1328125,0
80,0.5078125,0.0625,0.96875,-0.65625,-1.0,0.109375,0.78125,0.328125,0.1328125,0.8203125,0.4453125,0.09375,0.1953125,0.6953125,-0.1953125,-0.6953125,-0.8203125,0.6015625,0.1953125,0
81,-0.4296875,0.0625,0.3125,-0.7265625,-0.9609375,-0.3984375,0.7578125,0.8828125,0.4609375,-0.7109375,0.8203125,0.6171875,0.3203125,0.890625,-0.6953125,-0.6328125,-0.8203125,-0.4140625,0.125,0
82,0.34375,0.0703125,0.9375,-0.609375,-0.96875,0.8984375,-0.75,-0.09375,0.46875,-0.1640625,-0.0546875,-0.390625,0.3203125,0.890625,-0.203125,-0.6953125,-0.5078125,0.84375,0.1484375,0
83,-0.4375,0.1328125,0.46875,-0.7109375,-1.0,0.1640625,-0.2109375,0.4296875,0.4140625,-0.7421875,0.9453125,0.1015625,0.3125,0.640625,-0.640625,-0.6953125,-0.265625,0.34375,0.2421875,1
84,-0.21875,0.0625,0.96875,-0.1484375,-0.9609375,0.84375,0.7890625,-0.1484375,0.4765625,-0.5234375,-0.6796875,0.09375,0.3125,0.640625,-0.1953125,-0.6328125,-0.5703125,-0.90625,0.203125,0
85,0.3125,0.09375,0.96875,-0.625,-0.96875,0.59375,0.28125,-0.0234375,0.7265625,0.3828125,-0.0546875,0.3515625,0.3125,0.703125,-0.390625,-0.6953125,-0.328125,-0.6484375,0.2265625,2
86,0.28125,0.1015625,0.90625,-0.7421875,-0.9921875,0.6015625,0.7890625,0.4765625,0.21875,-0.0234375,-0.4296875,0.1171875,0.3203125,0.953125,-0.6328125,-0.6953125,0.4296875,-0.4609375,0.1640625,0
87,0.5703125,0.0625,0.84375,-0.140625,-0.9921875,0.6015625,-0.7421875,0.9609375,0.4375,0.4140625,0.3203125,0.6015625,0.1875,0.890625,-0.6953125,-0.6953125,-0.078125,-0.9609375,0.1640625,0
88,-0.4609375,0.0625,0.3125,-0.1484375,-0.9609375,0.3515625,0.7578125,0.265625,0.21875,0.9453125,-0.0546875,0.6171875,0.3203125,0.953125,-0.203125,-0.6328125,0.484375,-0.21875,0.1953125,0
89,0.7890625,0.0625,0.4375,-0.75,-0.9609375,0.359375,0.28125,-0.375,0.4453125,0.4765625,0.0703125,0.09375,0.3125,0.890625,-0.140625,-0.6640625,-0.765625,0.84375,0.125,0
90,-0.9375,0.1015625,0.8125,-0.2578125,-0.9609375,0.8515625,-0.2421875,0.7734375,0.1953125,-0.7109375,0.6640625,0.6171875,0.3203125,0.828125,-0.203125,-0.6328125,-0.0078125,-0.6875,0.1484375,1
91,-0.7421875,0.1015625,0.84375,-0.234375,-0.9921875,0.8515625,-0.7421875,0.9921875,-0.0546875,-0.2421875,0.8203125,0.6171875,0.3203125,0.890625,-0.265625,-0.6640625,-0.0859375,-0.90625,0.234375,0
92,-0.6484375,0.0703125,0.9375,-0.6875,-1.0,0.3515625,0.78125,-0.59375,0.3828125,-0.0859375,0.4453125,0.1796875,0.1875,0.640625,-0.578125,-0.7890625,-0.765625,-0.3984375,0.2265625,0
93,0.0703125,0.078125,0.46875,-0.6875,-0.9609375,0.59375,0.2734375,0.4921875,0.4453125,-0.6796875,0.8203125,0.6171875,0.3125,0.890625,-0.1953125,-0.6328125,-0.0078125,0.28125,0.234375,0
94,-0.46875,0.1015625,0.84375,-0.1171875,-1.0,0.6015625,-0.7421875,-0.234375,0.15625,0.3203125,-0.1796875,0.1171875,0.3203125,0.953125,-0.6953125,-0.4453125,-0.7578125,0.6015625,0.21875,0
95,-0.140625,0.0703125,0.8125,-0.546875,-0.9921875,0.1015625,0.7578125,-0.515625,0.1953125,-0.7421875,-0.8046875,0.1171875,0.3125,0.890625,-0.6328125,-0.7578125,-0.765625,-0.140625,0.1640625,0
96,0.0,0.171875,0.8125,-0.1953125,-0.9609375,-0.15625,-0.71875,0.875,0.4375,0.2890625,-0.3046875,0.609375,0.3125,0.890625,-0.2109375,-0.6328125,-0.0078125,-0.21875,0.171875,0
97,-0.9921875,0.1015625,0.4375,-0.703125,-0.9921875,0.8515625,-0.7109375,-0.2109375,0.4375,0.4453125,0.5703125,0.1015625,0.3203125,0.703125,-0.640625,-0.6328125,-0.328125,0.78125,0.171875,1
98,0.59375,0.09375,0.46875,-0.5859375,-1.0,0.59375,-0.21875,-0.6484375,0.4453125,-0.6171875,-0.3046875,0.1171875,0.3203125,0.953125,-0.6953125,-0.6953125,-0.765625,0.78125,0.1875,0
99,-0.4609375,0.09375,0.59375,0.640625,-0.9609375,0.34375,-0.75,-0.1640625,0.15625,0.4453125,0.4453125,0.59375,0.3203125,0.6328125,-0.6953125,-0.6953125,-0.828125,-0.3984375,0.140625,0
100,0.546875,0.203125,-0.0546875,-0.109375,0.859375,-0.7734375,0.6640625,0.6171875,-0.484375,0.5625,0.203125,-0.078125,-0.3515625,0.59375,0.0390625,0.4296875,0.5625,0.6640625,-0.1875,0
101,-0.453125,-0.546875,0.1953125,-0.3359375,0.828125,0.2109375,0.8984375,0.8046875,-0.8828125,0.1015625,0.203125,0.890625,-0.4453125,0.46875,0.375,0.4921875,0.640625,-0.3359375,-0.109375,0
102,0.609375,0.390625,-0.3515625,-0.984375,0.8125,-0.8359375,-0.6171875,0.8046875,-0.7890625,0.5,0.1875,0.171875,-0.4765625,0.90625,-0.21875,-0.5078125,-0.40625,-0.3203125,-0.5390625,0
103,-0.390625,-0.078125,-0.328125,-0.9921875,0.859375,-0.8046875,0.8984375,0.7734375,-0.7890625,-0.40625,0.1875,-0.546875,-0.2265625,0.34375,0.0390625,0.4296875,0.734375,0.6796875,-0.046875,0
104,-0.4921875,-0.859375,0.4453125,-0.859375,0.8515625,0.6640625,-0.3671875,-0.6328125,-0.609375,-0.9375,0.4375,0.671875,0.4296875,0.296875,0.0390625,-0.5703125,0.0703125,0.6796875,-0.734375,0
105,-0.328125,-0.078125,0.203125,-0.4453125,0.5625,-0.2734375,-0.8046875,-0.1640625,-0.421875,0.0390625,0.203125,0.671875,-0.2265625,0.78125,-0.59375,0.4296875,-0.375,0.6796875,-0.546875,0
106,-0.484375,-0.859375,0.953125,-0.1015625,0.6015625,-0.3359375,-0.7578125,0.1171875,-0.796875,0.1015625,0.171875,-0.078125,-0.4453125,0.28125,-0.2421875,0.4609375,-0.28125,-0.0703125,-0.5625,0
107,0.578125,0.421875,-0.5078125,-0.625,0.5703125,0.1640625,-0.0390625,0.6171875,-0.328125,-0.46875,-0.046875,-0.828125,-0.4765625,0.90625,0.0390625,-0.5703125,-0.4375,0.8046875,-0.6015625,0
108,-0.65625,-0.53125,0.1796875,-0.7109375,0.8671875,-0.8359375,0.9296875,-0.2890625,-0.0390625,0.5078125,0.203125,-0.578125,-0.3515625,0.796875,0.0078125,0.4296875,-0.421875,0.9296875,-0.25,0
109,0.578125,0.390625,-0.1015625,-0.46875,0.59375,0.2265625,0.6953125,0.5546875,-0.484375,0.09375,0.46875,-0.359375,-0.1953125,0.46875,0.40625,0.4609375,0.5625,0.9140625,-0.125,0
110,0.546875,-0.578125,-0.5546875,-0.5,0.6328125,0.2265625,-0.5703125,-0.6640625,0.046875,0.0390625,0.4375,0.890625,-0.1015625,0.859375,0.0390625,0.4296875,-0.359375,0.7109375,-0.7265625,0
111,-0.453125,-0.609375,-0.3671875,-0.71875,0.5703125,0.2890625,-0.3515625,0.3671875,-0.8828125,-1.0,0.4375,0.140625,-0.4453125,0.796875,0.15625,-0.5078125,0.703125,0.9140625,-0.609375,0
112,-0.484375,-0.515625,0.953125,-0.609375,0.921875,0.6640625,-0.5078125,0.8359375,-0.578125,-0.9375,0.203125,0.390625,-0.1015625,0.859375,0.3828125,-0.5078125,-0.578125,-0.0859375,-0.6171875,0
113,0.609375,0.453125,0.984375,-0.796875,0.609375,-0.3359375,-0.3203125,0.8046875,-0.3515625,0.1640625,0.4375,0.890625,-0.4765625,0.984375,0.0078125,-0.5703125,0.578125,-0.0859375,-0.625,0
114,0.265625,0.171875,-0.5859375,-0.109375,0.5703125,-0.7734375,0.453125,0.5859375,0.484375,0.0,-0.046875,0.390625,-0.1015625,0.796875,0.1328125,-0.5078125,-0.453125,-0.3203125,-0.5390625,0
115,0.609375,-0.859375,0.3125,-1.0,0.84375,-0.7734375,0.9140625,-0.1640625,-0.3828125,-0.9609375,0.4375,0.671875,-0.1015625,0.984375,0.3828125,0.4296875,0.234375,0.6015625,-0.046875,0
116,0.546875,-0.296875,-0.2734375,-0.1015625,0.609375,0.7265625,-0.0234375,0.8359375,-0.6328125,-0.9375,0.203125,-0.828125,-0.1953125,0.796875,0.1328125,0.4921875,0.640625,-0.296875,-0.625,1
117,0.265625,0.390625,-0.5625,-0.4765625,0.8203125,0.2265625,0.9765625,0.8671875,-0.171875,0.5625,0.453125,-0.859375,-0.0703125,0.28125,0.3828125,0.4296875,0.703125,0.6796875,-0.1640625,0
